mass,up_unc,down_unc
0.001,0.4135,0.4135
0.001,0.4135,0.4135
0.001,0.4134,0.4134
0.001,0.4134,0.4134
0.001,0.4134,0.4134
0.001,0.4134,0.4134
0.0011,0.4134,0.4134
0.0011,0.4134,0.4134
0.0011,0.4134,0.4134
0.0011,0.4134,0.4134
0.0011,0.4134,0.4134
0.0011,0.4133,0.4133
0.0011,0.4133,0.4133
0.0011,0.4133,0.4133
0.0011,0.4133,0.4133
0.0011,0.4133,0.4133
0.0011,0.4133,0.4133
0.0012,0.4133,0.4133
0.0012,0.4133,0.4133
0.0012,0.4132,0.4132
0.0012,0.4132,0.4132
0.0012,0.4132,0.4132
0.0012,0.4132,0.4132
0.0012,0.4132,0.4132
0.0012,0.4132,0.4132
0.0012,0.4132,0.4132
0.0013,0.4132,0.4132
0.0013,0.4131,0.4131
0.0013,0.4131,0.4131
0.0013,0.4131,0.4131
0.0013,0.4131,0.4131
0.0013,0.4131,0.4131
0.0013,0.4131,0.4131
0.0013,0.4131,0.4131
0.0013,0.4131,0.4131
0.0014,0.413,0.413
0.0014,0.413,0.413
0.0014,0.413,0.413
0.0014,0.413,0.413
0.0014,0.413,0.413
0.0014,0.413,0.413
0.0014,0.413,0.413
0.0014,0.4129,0.4129
0.0014,0.4129,0.4129
0.0015,0.4129,0.4129
0.0015,0.4129,0.4129
0.0015,0.4129,0.4129
0.0015,0.4129,0.4129
0.0015,0.4129,0.4129
0.0015,0.4128,0.4128
0.0015,0.4128,0.4128
0.0016,0.4128,0.4128
0.0016,0.4128,0.4128
0.0016,0.4128,0.4128
0.0016,0.4128,0.4128
0.0016,0.4128,0.4128
0.0016,0.4127,0.4127
0.0016,0.4127,0.4127
0.0016,0.4127,0.4127
0.0017,0.4127,0.4127
0.0017,0.4127,0.4127
0.0017,0.4127,0.4127
0.0017,0.4126,0.4126
0.0017,0.4126,0.4126
0.0017,0.4126,0.4126
0.0018,0.4126,0.4126
0.0018,0.4126,0.4126
0.0018,0.4126,0.4126
0.0018,0.4126,0.4126
0.0018,0.4125,0.4125
0.0018,0.4125,0.4125
0.0018,0.4125,0.4125
0.0019,0.4125,0.4125
0.0019,0.4125,0.4125
0.0019,0.4125,0.4125
0.0019,0.4124,0.4124
0.0019,0.4124,0.4124
0.0019,0.4124,0.4124
0.002,0.4124,0.4124
0.002,0.4124,0.4124
0.002,0.4123,0.4123
0.002,0.4123,0.4123
0.002,0.4123,0.4123
0.002,0.4123,0.4123
0.0021,0.4123,0.4123
0.0021,0.4123,0.4123
0.0021,0.4122,0.4122
0.0021,0.4122,0.4122
0.0021,0.4122,0.4122
0.0022,0.4122,0.4122
0.0022,0.4122,0.4122
0.0022,0.4121,0.4121
0.0022,0.4121,0.4121
0.0022,0.4121,0.4121
0.0022,0.4121,0.4121
0.0023,0.4121,0.4121
0.0023,0.412,0.412
0.0023,0.412,0.412
0.0023,0.412,0.412
0.0023,0.412,0.412
0.0024,0.412,0.412
0.0024,0.4119,0.4119
0.0024,0.4119,0.4119
0.0024,0.4119,0.4119
0.0024,0.4119,0.4119
0.0025,0.4119,0.4119
0.0025,0.4118,0.4118
0.0025,0.4118,0.4118
0.0025,0.4118,0.4118
0.0026,0.4118,0.4118
0.0026,0.4118,0.4118
0.0026,0.4117,0.4117
0.0026,0.4117,0.4117
0.0026,0.4117,0.4117
0.0027,0.4117,0.4117
0.0027,0.4116,0.4116
0.0027,0.4116,0.4116
0.0027,0.4116,0.4116
0.0028,0.4116,0.4116
0.0028,0.4116,0.4116
0.0028,0.4115,0.4115
0.0028,0.4115,0.4115
0.0029,0.4115,0.4115
0.0029,0.4115,0.4115
0.0029,0.4114,0.4114
0.0029,0.4114,0.4114
0.003,0.4114,0.4114
0.003,0.4114,0.4114
0.003,0.4113,0.4113
0.003,0.4113,0.4113
0.0031,0.4113,0.4113
0.0031,0.4113,0.4113
0.0031,0.4112,0.4112
0.0031,0.4112,0.4112
0.0032,0.4112,0.4112
0.0032,0.4112,0.4112
0.0032,0.4111,0.4111
0.0033,0.4111,0.4111
0.0033,0.4111,0.4111
0.0033,0.411,0.411
0.0033,0.411,0.411
0.0034,0.411,0.411
0.0034,0.411,0.411
0.0034,0.4109,0.4109
0.0035,0.4109,0.4109
0.0035,0.4109,0.4109
0.0035,0.4108,0.4108
0.0035,0.4108,0.4108
0.0036,0.4108,0.4108
0.0036,0.4108,0.4108
0.0036,0.4107,0.4107
0.0037,0.4107,0.4107
0.0037,0.4107,0.4107
0.0037,0.4106,0.4106
0.0038,0.4106,0.4106
0.0038,0.4106,0.4106
0.0038,0.4105,0.4105
0.0039,0.4105,0.4105
0.0039,0.4105,0.4105
0.0039,0.4105,0.4105
0.004,0.4104,0.4104
0.004,0.4104,0.4104
0.004,0.4104,0.4104
0.0041,0.4103,0.4103
0.0041,0.4103,0.4103
0.0041,0.4103,0.4103
0.0042,0.4102,0.4102
0.0042,0.4102,0.4102
0.0042,0.4101,0.4101
0.0043,0.4101,0.4101
0.0043,0.4101,0.4101
0.0044,0.41,0.41
0.0044,0.41,0.41
0.0044,0.41,0.41
0.0045,0.4099,0.4099
0.0045,0.4099,0.4099
0.0046,0.4099,0.4099
0.0046,0.4098,0.4098
0.0046,0.4098,0.4098
0.0047,0.4097,0.4097
0.0047,0.4097,0.4097
0.0048,0.4097,0.4097
0.0048,0.4096,0.4096
0.0048,0.4096,0.4096
0.0049,0.4095,0.4095
0.0049,0.4095,0.4095
0.005,0.4095,0.4095
0.005,0.4094,0.4094
0.005,0.4094,0.4094
0.0051,0.4093,0.4093
0.0051,0.4093,0.4093
0.0052,0.4093,0.4093
0.0052,0.4092,0.4092
0.0053,0.4092,0.4092
0.0053,0.4091,0.4091
0.0054,0.4091,0.4091
0.0054,0.409,0.409
0.0055,0.409,0.409
0.0055,0.4089,0.4089
0.0056,0.4089,0.4089
0.0056,0.4088,0.4088
0.0056,0.4088,0.4088
0.0057,0.4087,0.4087
0.0057,0.4087,0.4087
0.0058,0.4087,0.4087
0.0058,0.4086,0.4086
0.0059,0.4086,0.4086
0.0059,0.4085,0.4085
0.006,0.4084,0.4084
0.006,0.4084,0.4084
0.0061,0.4083,0.4083
0.0062,0.4083,0.4083
0.0062,0.4082,0.4082
0.0063,0.4082,0.4082
0.0063,0.4081,0.4081
0.0064,0.4081,0.4081
0.0064,0.408,0.408
0.0065,0.408,0.408
0.0065,0.4079,0.4079
0.0066,0.4078,0.4078
0.0067,0.4078,0.4078
0.0067,0.4077,0.4077
0.0068,0.4077,0.4077
0.0068,0.4076,0.4076
0.0069,0.4075,0.4075
0.0069,0.4075,0.4075
0.007,0.4074,0.4074
0.0071,0.4074,0.4074
0.0071,0.4073,0.4073
0.0072,0.4072,0.4072
0.0072,0.4072,0.4072
0.0073,0.4071,0.4071
0.0074,0.407,0.407
0.0074,0.407,0.407
0.0075,0.4069,0.4069
0.0076,0.4068,0.4068
0.0076,0.4068,0.4068
0.0077,0.4067,0.4067
0.0078,0.4066,0.4066
0.0078,0.4065,0.4065
0.0079,0.4065,0.4065
0.008,0.4064,0.4064
0.008,0.4063,0.4063
0.0081,0.4062,0.4062
0.0082,0.4062,0.4062
