mass charge yield
0.1 0.001 0.0
0.1 0.003 0.935947265625
0.1 0.0032 1.7074368
0.1 0.0035 4.389273
0.1 0.0037 5.8169960815625
0.1 0.004 11.076659999999999
0.1 0.005 47.49199375
0.1 0.006 143.113788
0.1 0.007 251.06058950000002
0.1 0.008 412.917824
0.1 0.009 592.2575414999999
0.1 0.01 706.1503
0.1 0.02 2346.192
0.1 0.03 2972.722725
0.1 0.04 2998.9176
0.1 0.05 2721.3256250000004
0.1 0.07 3672.1010375000005
0.1 0.08 4208.7672
0.1 0.09 3567.3118875
0.1 0.1 5755.176875000001
0.3 0.001 0.0
0.3 0.003 0.4921401796875
0.3 0.0032 1.2715884
0.3 0.0035 2.0923972343750004
0.3 0.0037 3.3294922790625003
0.3 0.004 4.8779175
0.3 0.005 19.123246875
0.3 0.006 49.933368
0.3 0.007 90.16305025000001
0.3 0.008 137.982304
0.3 0.009 179.13978224999997
0.3 0.01 244.697675
0.3 0.02 692.4824
0.3 0.03 845.6200875
0.3 0.04 931.8009000000001
0.3 0.05 762.4724218750001
0.3 0.06 1000.4531625
0.3 0.07 1046.4429281250002
0.3 0.09 1437.1957828124998
0.35 0.001 0.0
0.35 0.003 0.4982140546875
0.35 0.0032 1.20801304
0.35 0.0035 1.9048838046875003
0.35 0.0037 2.8971578009375003
0.35 0.004 4.8494825
0.35 0.005 17.819029687500002
0.35 0.006 39.818592
0.35 0.007 73.01464275000001
0.35 0.008 104.615072
0.35 0.009 141.80386499999997
0.35 0.01 177.82965000000002
0.35 0.02 553.5014
0.35 0.03 623.6638312499999
0.35 0.04 595.26445
0.35 0.05 602.7228906250001
0.35 0.06 739.0580625
0.35 0.07 754.6196000000001
0.35 0.08 1024.0648
0.35 0.09 1066.2677999999999
0.35 0.1 1290.6803125000004
0.4 0.001 0.0
0.4 0.003 0.3356033203125
0.4 0.0032 0.50891284
0.4 0.0035 0.86253953515625
0.4 0.0037 1.0809867853125001
0.4 0.004 2.0237936249999997
0.4 0.0043 2.68269127640625
0.4 0.0045 4.1797974374999995
0.4 0.005 6.5717546875
0.4 0.006 17.59568175
0.4 0.007 29.702189125000004
0.4 0.008 47.11956
0.4 0.009 60.68599481249999
0.4 0.01 81.86206250000001
0.4 0.02 227.666975
0.4 0.03 284.119846875
0.4 0.04 271.636975
0.4 0.05 272.63812500000006
0.4 0.06 351.20109375
0.4 0.07 413.27583828125006
0.4 0.09 474.24538125
0.4 0.1 778.8435937500002
0.5 0.001 0.0
0.5 0.003 0.155548775390625
0.5 0.0032 0.28205528
0.5 0.0035 0.5361614931640626
0.5 0.0037 0.79856508
0.5 0.004 1.0247590625
0.5 0.0043 1.8397055970312501
0.5 0.0045 2.6278763554687496
0.5 0.005 4.54850625
0.5 0.006 10.082502
0.5 0.007 18.5208454375
0.5 0.008 29.117848
0.5 0.009 39.59248106249999
0.5 0.01 49.242706250000005
0.5 0.02 153.0122125
0.5 0.03 182.06949375
0.5 0.04 196.3288
0.5 0.05 172.75201171875003
0.5 0.06 222.93826875
0.5 0.07 243.01639960937504
0.5 0.08 318.198125
0.5 0.09 424.453257421875
0.5 0.1 439.96210937500007
0.7 0.001 0.0
0.7 0.003 0.09183377636718751
0.7 0.0032 0.15073907
0.7 0.0035 0.36408521679687506
0.7 0.0037 0.39452414199218755
0.7 0.004 0.8167471875
0.7 0.0043 1.2295588539843751
0.7 0.0045 1.7498752734374998
0.7 0.005 2.9689228515625
0.7 0.0053 3.7200451645312502
0.7 0.006 7.0731045
0.7 0.007 13.926297656250002
0.7 0.008 20.9739
0.7 0.009 29.054892374999998
0.7 0.01 37.536300000000004
0.7 0.02 112.78280000000001
0.7 0.03 130.364578125
0.7 0.04 125.454475
0.7 0.05 124.74853515625003
0.7 0.06 132.46059375
0.7 0.07 170.65555390625002
0.7 0.08 226.80550000000002
0.7 0.09 248.2041234375
0.7 0.1 310.1791015625001
0.9 0.001 0.0
0.9 0.003 0.114337546875
0.9 0.0032 0.1850664
0.9 0.0035 0.34510118603515627
0.9 0.0037 0.51710745015625
0.9 0.004 0.8159005625
0.9 0.0043 1.36486044015625
0.9 0.0045 1.5481384453124998
0.9 0.005 2.9905621093750003
0.9 0.0053 4.1730512778125
0.9 0.006 8.0598718125
0.9 0.007 13.099632437500002
0.9 0.008 20.678372
0.9 0.009 27.249285937499998
0.9 0.01 34.43570625
0.9 0.02 102.8063125
0.9 0.03 122.42030625
0.9 0.04 113.65801250000001
0.9 0.05 140.49202148437502
0.9 0.06 149.7064078125
0.9 0.07 209.84156210937502
0.9 0.08 247.80315000000002
0.9 0.09 317.305824609375
0.9 0.1 387.7001171875001
1.0 0.001 0.0
1.0 0.003 0.1428750087890625
1.0 0.0032 0.19279578
1.0 0.0035 0.38020009179687503
1.0 0.0037 0.5262695361328126
1.0 0.004 0.8684273124999999
1.0 0.0043 1.40978940671875
1.0 0.0045 1.8084700722656248
1.0 0.005 3.0756609375000004
1.0 0.0053 3.8991105753125
1.0 0.006 6.7355150625
1.0 0.007 12.068011703125002
1.0 0.008 18.031992
1.0 0.009 24.545467968749996
1.0 0.01 29.702465625000002
1.0 0.02 84.4664375
1.0 0.03 100.3321828125
1.0 0.04 93.2758625
1.0 0.05 31.135776367187507
1.0 0.06 46.406816015625
1.0 0.07 66.88084648437501
1.0 0.08 76.02006250000001
1.0 0.09 107.7961763671875
1.0 0.1 103.62405273437501
1.3 0.001 0.0
1.3 0.003 0.1478474296875
1.3 0.004 0.9567549999999999
1.3 0.0043 1.4440323089062501
1.3 0.0045 1.7281236093749999
1.3 0.005 2.7074498046875
1.3 0.0053 3.5913635578125
1.3 0.006 5.896821375
1.3 0.007 9.760782390625002
1.3 0.008 14.291163
1.3 0.009 17.966374593749997
1.3 0.01 22.26569375
1.3 0.02 58.7571
1.3 0.03 68.83204921875
1.3 0.04 62.16861875
1.3 0.05 67.89304687500001
1.3 0.06 86.181609375
1.3 0.07 121.46733457031252
1.3 0.08 126.9266125
1.3 0.09 186.5794974609375
1.3 0.1 212.40832031250005
1.5 0.001 0.0
1.5 0.003 0.12051116015625
1.5 0.004 0.607252875
1.5 0.0043 0.8971601515234375
1.5 0.0045 1.0179200390624998
1.5 0.005 1.6241360351562502
1.5 0.006 3.19454521875
1.5 0.0065 4.29091726171875
1.5 0.007 5.144463296875
1.5 0.008 6.8747045
1.5 0.009 9.044441015624999
1.5 0.01 11.486380468750001
1.5 0.02 27.467696875
1.5 0.03 30.622257421875
1.5 0.033 29.871036035156255
1.5 0.035 27.89927690429688
1.5 0.037 31.974663468749995
1.5 0.04 31.275381250000002
1.5 0.05 35.15888183593751
1.5 0.06 44.18809453125
1.5 0.08 75.89965000000001
1.7 0.001 0.0
1.7 0.003 0.004081921051025391
1.7 0.004 0.018404109374999998
1.7 0.005 0.06392611083984376
1.7 0.006 0.126635818359375
1.7 0.007 0.22344966601562502
1.7 0.008 0.31066734375
1.7 0.009 0.42587260839843744
1.7 0.01 0.70613349609375
1.7 0.02 1.877346484375
1.7 0.023 2.1327351784667967
1.7 0.025 2.1692527770996097
1.7 0.027 2.2885751865234374
1.7 0.03 2.1665177490234373
1.7 0.04 2.3045519531250003
1.7 0.05 2.4137829589843753
1.7 0.06 2.97838212890625
1.7 0.07 4.003631072998047
1.7 0.08 5.45925546875
1.7 0.09 6.4608327026367185
1.7 0.1 5.586208496093751
2.0 0.001 0.0
2.0 0.003 0.0009189262847900391
2.0 0.004 0.009202193359375
2.0 0.005 0.02626962585449219
2.0 0.006 0.0748712724609375
2.0 0.007 0.10460631494140626
2.0 0.008 0.173429921875
2.0 0.009 0.20882527734374998
2.0 0.01 0.29212695312500003
2.0 0.02 0.9056544921875
2.0 0.023 0.9418068806152343
2.0 0.025 1.0488349914550783
2.0 0.027 0.9914610014648436
2.0 0.03 1.010050927734375
