fill_number,first_run_number,last_run_number,duration,start_time,end_time,start_stable_beam,end_stable_beam,end_time,delivered_lumi,recorded_lumi,downtime,efficiency_lumi,peak_lumi,peak_pileup,fill_type_runtime,bunches_target,beta_star,energy,injection_scheme
9079,,,,2023-08-30 16:49:32,,,,,,,0,,,,PROTONS,0,,,Single_42b_0_0_0_noHOnoLR
9078,,,,2023-08-30 15:09:18,2023-08-30 16:49:32,,,2023-08-30 16:49:32,,,0,,,,PROTONS,1,,,Single_42b_0_0_0_noHOnoLR
9077,372464,372472,,2023-08-30 11:31:22,2023-08-30 15:09:18,,,2023-08-30 15:09:18,,,0,,,,PROTONS,9,,,Single_2b_1_1_1
9076,372454,372461,,2023-08-30 09:11:07,2023-08-30 11:31:22,,,2023-08-30 11:31:22,,,0,,,,PROTONS,9,,,Single_9b_9_0_0_MD10483
9075,370867,372453,,2023-07-18 08:33:35,2023-08-30 09:11:07,,,2023-08-30 09:11:07,,,0,,,,PROTONS,946,,,Single_9b_9_0_0_MD10483
9074,,,,2023-07-18 08:12:23,2023-07-18 08:33:35,,,2023-07-18 08:33:35,,,0,,,,PROTONS,2452,,,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid
9073,370782,370865,597,2023-07-16 20:54:27,2023-07-18 08:12:23,2023-07-16 22:50:23,2023-07-16 23:00:20,2023-07-18 08:12:23,6.410313644735,4.483246240801,43,69.938,12.743416406,36.971941,PROTONS,2452,120.0,6799.32,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid
9072,370766,370780,44985,2023-07-16 06:29:54,2023-07-16 20:54:27,2023-07-16 07:58:39,2023-07-16 20:28:24,2023-07-16 20:54:27,799.988889049901,741.992887320084,1556,92.75,22.216092187,64.454621,PROTONS,2452,120.0,6799.44,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid
9071,370756,370764,,2023-07-16 04:58:18,2023-07-16 06:29:54,,,2023-07-16 06:29:54,,,0,,,,PROTONS,2452,,,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid
9070,370744,370753,41735,2023-07-15 14:08:50,2023-07-16 04:58:18,2023-07-15 17:20:09,2023-07-16 04:55:44,2023-07-16 04:58:18,745.314080204921,689.472637202516,3641,92.508,21.952523438,63.689938,PROTONS,2452,120.0,6799.32,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid
9069,370740,370742,,2023-07-15 11:53:54,2023-07-15 14:08:50,,,2023-07-15 14:08:50,,,0,,,,PROTONS,2452,,,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid
