fill_number,first_run_number,last_run_number,duration,start_time,start_stable_beam,end_stable_beam,end_time,delivered_lumi,recorded_lumi,efficiency_time,efficiency_lumi,peak_lumi,peak_pileup,bunches_colliding,beta_star,energy,injection_scheme,fill_type_runtime
9168,373710,373754,23361,2023-09-19 22:25:39,2023-09-19 23:39:44,2023-09-20 06:09:05,2023-09-20 15:14:06,0.439023694727,0.417265520248,99.747,95.044,0.021622267,3.364776,40.0,310.0,2679.6,525ns_128b_60_92_92_4bpi_32inj_ppref,PROTONS
9162,373601,373615,27664,2023-09-18 14:16:05,2023-09-19 01:03:59,2023-09-19 08:45:03,2023-09-19 08:41:04,6.2374149e-05,6.1045551e-05,70.813,97.87,5.9139e-05,0.140236,3.0,65400.0,6799.44,Single_3b_3_0_0_highbeta,PROTONS
9159,373576,373577,47094,2023-09-17 12:51:20,2023-09-17 15:44:45,2023-09-18 04:49:39,2023-09-18 05:12:59,0.000104773496,0.000102766294,99.964,98.084,4.2109e-05,0.099853,3.0,65400.0,6799.44,Single_3b_3_0_0_highbeta,PROTONS
9156,373563,373566,24197,2023-09-16 16:46:18,2023-09-16 22:40:22,2023-09-17 05:23:39,2023-09-17 07:21:57,6.076296e-05,5.9081859e-05,96.843,97.233,0.000103941,0.246475,3.0,65400.0,6799.44,Single_4b_3_0_1_highbeta,PROTONS
9154,373514,373555,55702,2023-09-15 11:49:21,2023-09-15 16:51:06,2023-09-16 08:19:28,2023-09-16 13:18:36,9.2282425e-05,9.0307243e-05,99.928,97.86,5.9818e-05,0.141847,3.0,65400.0,6799.44,Single_3b_3_0_0_highbeta,PROTONS
9153,373478,373511,21056,2023-09-14 19:37:22,2023-09-14 23:47:56,2023-09-15 05:38:52,2023-09-15 11:49:21,6.3777529e-05,6.201035e-05,100.0,97.229,2.724e-05,0.048446,4.0,65400.0,6799.44,Single_4b_4_0_0_highbeta,PROTONS
9138,373208,373247,10441,2023-09-11 05:01:05,2023-09-11 10:15:54,2023-09-11 13:09:55,2023-09-12 13:51:25,-0.000481461679,4.3512881e-05,100.0,-9.038,2.6104e-05,0.061901,3.0,65400.0,6799.32,Single_4b_3_0_1_highbeta,PROTONS
9136,373142,373142,15910,2023-09-10 13:27:04,2023-09-10 20:44:55,2023-09-11 01:10:05,2023-09-11 01:39:14,5.9887079e-05,5.6999832e-05,100.0,95.179,3.9034e-05,0.09256,3.0,65400.0,6799.44,Single_3b_3_0_0_highbeta,PROTONS
9135,373134,373141,17450,2023-09-10 03:51:17,2023-09-10 08:14:35,2023-09-10 13:05:25,2023-09-10 13:27:04,7.2355846e-05,6.5634222e-05,93.954,90.71,2.9173e-05,0.051883,4.0,65400.0,6799.44,Single_4b_4_0_0_1bpi_4inj,PROTONS
9132,373089,373132,31192,2023-09-09 04:39:37,2023-09-09 13:27:04,2023-09-09 22:06:56,2023-09-09 22:09:50,0.000183513271,0.000164855219,99.433,89.833,0.000885695,2.100245,3.0,65400.0,6799.32,Single_3b_3_0_0_highbeta,PROTONS
9128,373058,373061,43223,2023-09-07 12:41:45,2023-09-07 14:14:32,2023-09-08 02:14:55,2023-09-08 02:18:21,0.144071517839,0.140749453572,99.322,97.694,0.003578343,0.424265,60.0,1920.0,6799.56,Multi_72b_60_20_22_4bpi_20inj_VdM2023,PROTONS
9095,372590,372602,1832,2023-09-01 07:11:01,2023-09-01 08:43:52,2023-09-01 09:14:24,2023-09-01 14:32:55,0.001631700959,0.00141191689,49.454,86.53,0.000176809,0.574928,8.0,1100.0,449.76,Single_12b_8_8_8_2018,PROTONS
9073,370782,370865,597,2023-07-16 20:54:27,2023-07-16 22:50:23,2023-07-16 23:00:20,2023-07-18 08:12:23,6.410313644735,4.483246240801,92.785,69.938,12.743416406,36.971941,2452.0,120.0,6799.32,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid,PROTONS
9072,370766,370780,44985,2023-07-16 06:29:54,2023-07-16 07:58:39,2023-07-16 20:28:24,2023-07-16 20:54:27,799.988889049901,741.992887320084,96.541,92.75,22.216092187,64.454621,2452.0,120.0,6799.44,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid,PROTONS
9070,370744,370753,41735,2023-07-15 14:08:50,2023-07-15 17:20:09,2023-07-16 04:55:44,2023-07-16 04:58:18,745.314080204921,689.472637202516,91.276,92.508,21.952523438,63.689938,2452.0,120.0,6799.32,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid,PROTONS
9068,370718,370739,9827,2023-07-15 02:04:18,2023-07-15 05:13:10,2023-07-15 07:56:57,2023-07-15 11:53:54,186.938810316264,174.316065507433,97.833,93.248,21.567152995,62.571879,2452.0,120.0,6799.44,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid,PROTONS
9067,370704,370717,2826,2023-07-14 21:59:55,2023-07-15 01:09:53,2023-07-15 01:56:59,2023-07-15 02:04:18,40.492881149525,38.424078228973,97.558,94.891,19.275803516,55.924083,2452.0,120.0,6799.44,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid,PROTONS
9066,370663,370703,4216,2023-07-14 05:41:58,2023-07-14 07:40:14,2023-07-14 08:50:30,2023-07-14 21:59:55,58.619241542555,46.200346934568,79.953,78.814,19.136349349,55.51949,2452.0,120.0,6799.32,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid,PROTONS
9063,370562,370640,71848,2023-07-12 14:58:31,2023-07-12 17:38:37,2023-07-13 13:36:05,2023-07-13 21:04:41,995.617830515857,919.830231234838,94.497,92.388,22.106922135,64.137888,2452.0,120.0,6799.44,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid,PROTONS
9062,370537,370560,8196,2023-07-12 07:52:37,2023-07-12 12:36:43,2023-07-12 14:53:19,2023-07-12 14:58:31,156.20282545261,148.056717667002,99.402,94.785,21.909777995,63.565923,2452.0,120.0,6799.44,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid,PROTONS
9059,370517,370523,7580,2023-07-11 21:16:56,2023-07-11 23:54:52,2023-07-12 02:01:12,2023-07-12 04:22:22,140.340560541508,132.646694488503,98.47,94.518,21.315138151,61.840719,2452.0,120.0,6799.44,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid,PROTONS
9057,370473,370515,33543,2023-07-11 07:43:55,2023-07-11 09:37:44,2023-07-11 18:56:47,2023-07-11 20:52:05,600.141174953904,564.637546551547,98.48,94.084,21.431846094,62.179318,2452.0,120.0,6799.44,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid,PROTONS
9056,370462,370472,1144,2023-07-11 04:17:23,2023-07-11 07:20:06,2023-07-11 07:39:10,2023-07-11 07:43:55,12.993650206297,10.388232654512,87.063,79.949,12.827512109,37.215924,2452.0,120.0,6799.44,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid,PROTONS
9055,370459,370460,2826,2023-07-11 01:39:29,2023-07-11 03:19:30,2023-07-11 04:06:36,2023-07-11 04:17:23,36.83656132991,33.837044450951,95.188,91.857,19.783203125,57.39618,2452.0,120.0,6799.44,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid,PROTONS
9050,370393,370452,20333,2023-07-10 08:33:42,2023-07-10 12:28:48,2023-07-10 18:07:41,2023-07-10 21:22:09,385.314459265832,358.343927758152,97.138,93.0,20.825747266,63.177813,2345.0,120.0,6799.44,25ns_2358b_2345_1692_1628_236bpi_14inj_hybrid_2INDIV,PROTONS
9049,370351,370389,30797,2023-07-09 17:48:41,2023-07-09 19:07:57,2023-07-10 03:41:14,2023-07-10 08:33:42,565.827171749527,507.949645590239,94.428,89.771,21.389804427,62.057344,2452.0,120.0,6799.32,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid,PROTONS
9046,370333,370340,17667,2023-07-09 09:10:41,2023-07-09 10:56:30,2023-07-09 15:50:57,2023-07-09 16:05:41,348.958562622747,327.532408045919,98.828,93.86,21.42426276,62.157317,2452.0,120.0,6799.32,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid,PROTONS
9045,370309,370332,48490,2023-07-08 17:53:16,2023-07-08 19:40:27,2023-07-09 09:08:37,2023-07-09 09:10:41,777.675412791839,705.912027619138,94.578,90.772,21.377560937,62.021824,2452.0,120.0,6799.32,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid,PROTONS
9044,370298,370307,48913,2023-07-08 02:28:57,2023-07-08 04:06:43,2023-07-08 17:41:56,2023-07-08 17:53:16,811.713348860543,736.861639918356,94.126,90.779,21.520577214,62.436751,2452.0,120.0,6799.32,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid,PROTONS
9043,370290,370296,52915,2023-07-07 09:49:30,2023-07-07 11:09:02,2023-07-08 01:50:57,2023-07-08 02:28:57,859.215222348193,810.525569380686,98.354,94.333,21.402649089,62.094611,2452.0,120.0,6799.44,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid,PROTONS
9036,370174,370209,46554,2023-07-05 23:13:27,2023-07-06 01:17:41,2023-07-06 14:13:35,2023-07-06 14:58:08,789.605036592385,703.063089022969,90.113,89.04,21.45038125,62.233094,2452.0,120.0,6799.32,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid,PROTONS
9035,370169,370172,43418,2023-07-05 09:28:00,2023-07-05 11:03:46,2023-07-05 23:07:24,2023-07-05 23:13:27,641.994016687145,585.91155409594,90.757,91.264,20.792797917,60.325275,2452.0,120.0,6799.32,25ns_2464b_2452_1842_1821_236bpi_12inj_hybrid,PROTONS
9031,370127,370144,47931,2023-07-04 15:02:37,2023-07-04 16:56:25,2023-07-05 06:15:16,2023-07-05 06:20:31,706.537049549698,609.507941765815,76.222,86.267,20.762383984,62.985592,2345.0,120.0,6799.32,25ns_2358b_2345_1692_1628_236bpi_14inj_hybrid_2INDIV,PROTONS
9029,370087,370102,47870,2023-07-03 21:14:34,2023-07-03 23:29:56,2023-07-04 12:47:46,2023-07-04 13:07:33,643.908395194158,581.442398095163,91.554,90.299,21.026745443,63.78757,2345.0,120.0,6799.44,25ns_2358b_2345_1692_1628_236bpi_14inj_hybrid_2INDIV,PROTONS
9023,369980,370036,12543,2023-07-02 21:29:38,2023-07-02 23:58:58,2023-07-03 03:28:01,2023-07-03 11:53:31,162.151564526955,143.438785885973,91.996,88.46,17.392370052,66.058366,1873.0,120.0,6799.44,25ns_1886b_1873_1217_1173_236bpi_12inj_hybrid_2INDIV,PROTONS
9022,369978,369978,18442,2023-07-02 14:42:58,2023-07-02 16:20:53,2023-07-02 21:28:15,2023-07-02 21:29:38,173.80180222225,166.35584802745,98.509,95.716,10.866111198,66.352159,1165.0,120.0,6799.44,25ns_1178b_1165_696_693_236bpi_9inj_hybrid_2INDIV,PROTONS
9019,369954,369956,24439,2023-07-02 01:06:47,2023-07-02 03:23:12,2023-07-02 10:10:31,2023-07-02 10:16:44,91.652661154988,88.688540165952,99.439,96.766,7.744549935,61.351713,898.0,120.0,6799.44,25ns_911b_898_614_688_128bpi_11inj_hybrid_3INDIV,PROTONS
9017,369930,369943,19130,2023-07-01 14:42:39,2023-07-01 16:44:42,2023-07-01 22:03:32,2023-07-01 22:06:31,60.125182439215,54.107785419642,91.866,89.992,3.429393457,63.202879,386.0,120.0,6799.44,25ns_399b_386_204_258_128bpi_hybrid_3INDIV,PROTONS
9016,369918,369927,8117,2023-07-01 10:02:52,2023-07-01 12:26:07,2023-07-01 14:41:24,2023-07-01 14:42:39,3.346201856783,3.277460858194,99.286,97.946,0.546256242,62.677486,62.0,120.0,6799.44,25ns_75b_62_32_62_12bpi_9inj,PROTONS
9014,369898,369902,4,2023-07-01 04:21:41,2023-07-01 07:14:16,2023-07-01 07:14:20,2023-07-01 07:25:27,0.314474672817,0.308833929954,100.0,98.206,0.689596016,37.448144,131.0,120.0,6799.44,25ns_143b_131_12_14_128bpi_5inj_hybrid_3INDIV,PROTONS
9007,369864,369873,32167,2023-06-30 08:53:58,2023-06-30 11:15:51,2023-06-30 20:11:58,2023-06-30 20:13:04,28.006465221085,26.368414117216,96.294,94.151,1.367819377,69.503641,140.0,120.0,6799.44,Multi_525ns_140b_140_75_16_8bpi_19inj_2023,PROTONS
8999,369802,369802,86522,2023-06-28 18:46:31,2023-06-28 20:17:36,2023-06-29 20:19:38,2023-06-29 20:22:31,0.607149711574,0.586974462771,99.746,96.677,0.010068611,0.526669,136.0,1920.0,6799.56,525ns_138b_136_35_16_8bpi_19inj_noCloseLR_2023,PROTONS
8997,369792,369797,24520,2023-06-28 09:08:56,2023-06-28 10:30:53,2023-06-28 17:19:33,2023-06-28 17:24:29,0.219577440514,0.201294056265,94.833,91.673,0.010508629441,0.549685,136.0,1920.0,6799.44,525ns_138b_136_35_16_8bpi_19inj_noCloseLR_2023,PROTONS
